inspec_ym,inspec_loc,pH,water02,SS,water04,water05,DO,TP,대장균총,분원성대장균,수온,EC,water12,water13,water14,water15,water16,water17,water18,water19,TN,water21,water22,water23,water24,water25,water26,water27,area_CODE,area_NAME,river_CODE,river_NAME,loc_NAME,loc_ADDR,year,month,river_name,track,ecoli_label_raw,label_A,label_B
202109,215,7.8,7.5,5.3,4.1,7.6,7.7,0.196,370000.0,98000.0,23.3,207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.771,1.038,3.195,3.343,0.13,0.152,0.0,14.9,0.0,1,수영강,29,온천천,온천천1(태광산업),태광산업 앞,2021,9,온천천,A,98000.0,1,0
202109,216,7.4,6.7,8.3,3.5,8.8,2.2,0.16,140000.0,49000.0,22.7,255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.184,1.829,2.932,3.235,0.115,0.117,0.0,6.4,0.0,1,수영강,29,온천천,온천천2(연안교),연안교,2021,9,온천천,A,49000.0,1,1
202109,301,8.0,4.8,6.4,4.4,11.4,3.7,0.19,340000.0,100000.0,24.2,6066.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.606,0.997,2.788,2.888,0.103,0.113,0.0,10.2,0.0,4,낙동강,22,괴정천,괴정천,하단초등학교 뒤,2021,9,괴정천,B,100000.0,1,0
202109,312,7.1,5.5,2.9,3.5,2.5,1.5,0.223,1600000.0,370000.0,24.0,38467.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.376,0.004,1.573,2.15,0.142,0.16,0.0,0.2,0.0,2,중부산,3,동천,동천2-1,범3호교(성서교),2021,9,동천,B,370000.0,1,1
202109,327,7.7,1.4,6.7,3.9,29.2,7.8,0.091,24000.0,5500.0,22.9,168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.567,1.877,2.023,0.036,0.052,0.0,16.3,0.0,1,수영강,29,온천천,온천천(청룡),청룡2호교,2021,9,온천천,A,5500.0,1,0
202109,328,7.5,3.7,6.6,3.6,3.9,6.8,0.184,100000.0,39000.0,22.7,216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.396,1.878,3.284,3.474,0.138,0.157,0.0,12.2,0.0,1,수영강,29,온천천,온천천(온천),온천교,2021,9,온천천,A,39000.0,1,0
202109,329,7.5,2.7,6.3,3.6,6.4,6.3,0.191,130000.0,55000.0,22.6,239.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.193,1.804,2.822,3.087,0.117,0.16,0.0,8.4,0.0,1,수영강,29,온천천,온천천(세병),세병교,2021,9,온천천,A,55000.0,1,0
202110,206,7.4,8.5,10.3,5.8,9.7,4.6,1.284,1500000.0,1200000.0,22.9,5362.0,0.0,,,,,,,9.673,0.233,10.415,10.954,1.029,1.111,,4.0,,2,중부산,3,동천,동천1,광무교,2021,10,동천,B,1200000.0,1,0
202110,207,7.5,1.5,2.0,1.8,6.7,4.4,0.148,50000.0,20000.0,24.0,43632.0,0.0,,,,,,,0.7,0.059,1.141,1.244,0.125,0.13,,2.1,,2,중부산,3,동천,동천2,범4호교,2021,10,동천,B,20000.0,1,0
202110,208,7.7,3.9,2.8,2.4,6.4,1.0,0.163,160000.0,120000.0,24.5,43396.0,0.0,,,,,,,0.86,0.035,1.385,1.517,0.105,0.131,,1.6,,2,중부산,3,동천,동천3,범일교,2021,10,동천,B,120000.0,1,1
